duration,protocol,service,src_bytes,dst_bytes,packet_size,src_packets,dst_packets,login_attempts,attack_type
18,udp,ftp,3439,895,981,4,44,6,attack
11,tcp,ftp,4826,788,924,17,4,1,normal
29,udp,ftp,1846,3462,254,15,27,1,normal
59,udp,ssh,2647,202,226,12,39,7,attack
10,tcp,ftp,1648,836,1296,8,3,0,normal
50,tcp,dns,3265,2613,1184,50,5,4,attack
38,icmp,http,4634,2973,1103,40,14,1,attack
28,icmp,ssh,4927,648,536,5,47,4,normal
16,icmp,ssh,1459,2433,233,14,3,4,normal
5,udp,dns,2706,786,941,27,5,3,normal
28,udp,dns,4390,2153,1472,32,26,5,attack
56,udp,ftp,2849,537,1310,43,43,0,attack
20,udp,ftp,3329,86,247,28,39,7,attack
42,tcp,dns,2113,1374,199,31,14,7,attack
9,icmp,dns,1448,2441,344,4,5,7,attack
60,udp,http,3559,2206,762,4,13,1,attack
50,udp,ftp,1389,1835,216,45,36,4,attack
11,tcp,ftp,2591,3128,1423,21,1,5,normal
40,icmp,ftp,304,858,330,39,34,8,attack
24,tcp,ssh,1258,2667,364,25,42,7,attack
1,icmp,http,3817,1350,506,46,15,0,attack
53,udp,dns,3574,1377,214,4,4,5,normal
1,udp,ftp,4725,1379,1146,36,36,4,attack
50,udp,dns,4707,92,709,27,43,3,normal
36,icmp,http,2016,2432,1316,47,8,4,attack
23,icmp,dns,4710,1141,814,4,35,10,attack
16,udp,ssh,367,273,780,15,44,2,normal
52,icmp,http,4269,1065,1229,27,8,3,normal
19,icmp,http,4142,2070,1206,40,46,3,attack
30,icmp,dns,4324,1942,1302,23,5,5,normal
40,udp,ftp,894,2069,1449,39,23,6,attack
39,icmp,dns,4303,2157,376,1,28,9,attack
38,icmp,http,2623,2632,1248,6,22,2,normal
9,tcp,ssh,990,898,758,18,47,6,attack
2,udp,http,3594,3133,471,13,14,2,attack
12,udp,ssh,4158,431,1082,1,24,6,attack
1,icmp,dns,606,618,1359,21,31,3,normal
34,icmp,http,643,465,1287,44,49,8,attack
4,udp,http,593,1176,1316,1,32,5,normal
15,tcp,http,263,1648,1296,28,26,1,normal
12,icmp,ssh,2979,617,1014,25,2,10,attack
33,icmp,dns,3479,2914,992,30,38,5,attack
10,icmp,ssh,4501,380,878,41,7,6,attack
20,udp,ftp,3186,3817,520,49,40,7,attack
26,udp,ftp,402,1303,330,25,24,4,normal
56,udp,dns,1336,2190,1010,9,48,0,normal
49,udp,ssh,3836,1607,407,31,43,7,attack
5,udp,ftp,2522,2171,1400,39,44,9,attack
29,udp,dns,4341,3135,373,9,37,5,attack
54,udp,http,3163,2128,538,4,49,2,attack
22,icmp,dns,1343,3740,256,27,33,0,normal
34,tcp,ssh,2711,2564,784,48,25,6,attack
22,icmp,dns,364,3803,255,7,37,5,normal
8,icmp,http,3606,1056,493,1,34,2,normal
1,tcp,ssh,1572,2307,703,7,9,9,attack
23,icmp,ftp,4246,862,1144,32,42,9,attack
43,tcp,http,1298,2550,1315,11,32,7,attack
31,tcp,dns,3097,3202,549,23,21,4,attack
54,udp,dns,2817,981,430,50,42,1,attack
3,tcp,dns,3706,310,1353,40,1,4,attack
1,tcp,http,724,994,687,45,8,10,attack
56,tcp,ssh,3175,1702,1100,11,1,2,normal
6,udp,http,4527,3097,467,18,2,6,attack
32,udp,ftp,1313,3433,1031,35,17,7,attack
57,udp,ftp,1200,2629,1430,19,12,10,attack
30,tcp,http,4950,318,1377,2,20,8,attack
18,tcp,dns,2502,1274,136,35,3,10,attack
59,icmp,http,2597,3162,555,37,22,3,attack
6,udp,ftp,2834,765,1020,49,42,6,attack
5,icmp,ssh,2603,2061,367,1,8,2,normal
15,icmp,ssh,1983,215,928,3,36,3,normal
43,icmp,http,4283,1904,596,29,43,5,normal
49,icmp,ftp,3826,2846,457,18,27,6,attack
57,tcp,dns,2361,3885,1071,9,48,7,attack
17,tcp,ftp,1576,2523,908,23,46,9,attack
22,icmp,dns,4801,119,176,12,19,5,normal
59,tcp,http,4611,2641,411,49,38,10,attack
17,icmp,http,963,897,1432,12,36,10,attack
46,tcp,ftp,1435,1542,1455,33,7,7,attack
33,tcp,ssh,925,2123,1444,11,15,3,normal
8,icmp,dns,2989,3280,964,45,5,3,attack
36,tcp,ftp,3427,1607,799,4,4,6,attack
33,udp,ftp,3807,1565,1334,34,8,4,normal
4,tcp,http,4178,1083,884,33,24,10,attack
42,tcp,ssh,3498,3667,1091,25,35,6,attack
31,icmp,http,2870,3146,949,32,49,7,attack
46,tcp,ssh,2145,3979,191,31,7,4,normal
37,udp,ftp,825,1692,156,50,35,4,attack
54,udp,ssh,1311,2628,909,50,28,1,attack
13,tcp,dns,1223,402,873,41,33,4,attack
57,tcp,http,1796,1964,509,26,12,3,normal
18,icmp,ssh,2611,1937,138,27,35,5,normal
32,udp,dns,2234,3470,1361,14,49,5,normal
39,udp,ftp,3154,2735,966,17,48,1,attack
28,tcp,dns,3638,1435,866,29,46,4,normal
41,udp,dns,2429,3894,618,50,39,6,attack
1,tcp,ftp,2085,700,1413,39,32,2,attack
8,udp,dns,1181,882,811,40,15,7,attack
20,udp,http,3802,791,1279,16,39,3,normal
40,tcp,dns,4647,3928,812,7,42,6,attack
36,udp,ssh,4369,3348,1273,36,3,6,attack
42,tcp,http,748,685,377,35,4,0,normal
54,udp,ftp,425,2958,151,42,5,10,attack
42,tcp,http,1646,3711,1301,2,5,1,normal
43,icmp,dns,3048,3242,256,27,32,2,attack
6,icmp,http,4791,3736,764,48,8,10,attack
1,tcp,dns,2080,3951,665,14,10,4,normal
22,tcp,dns,3919,3043,1201,4,2,1,attack
34,tcp,ssh,4091,3171,315,2,49,8,attack
10,tcp,http,579,1089,654,16,19,6,attack
28,icmp,http,1005,359,881,4,35,10,attack
17,udp,ftp,2125,2859,1098,39,29,1,attack
6,udp,ftp,119,3868,555,27,31,8,attack
7,tcp,dns,4944,898,1073,39,1,10,attack
38,udp,dns,4251,530,373,24,43,9,attack
26,udp,ftp,3937,2482,699,22,20,6,attack
22,icmp,dns,918,805,1003,4,27,6,attack
54,tcp,ssh,1355,305,373,1,31,1,normal
60,icmp,http,1291,1211,428,18,39,2,normal
34,tcp,http,2039,2934,1164,36,19,10,attack
59,tcp,ssh,1401,1120,209,15,17,6,attack
42,icmp,dns,365,3989,277,11,2,2,normal
51,udp,ssh,1091,2090,106,35,37,7,attack
24,icmp,http,710,1969,1278,14,29,5,normal
37,icmp,dns,346,2032,197,37,38,0,attack
52,tcp,dns,4650,1158,868,2,41,8,attack
37,udp,ftp,157,66,667,22,13,1,normal
9,tcp,ssh,2665,103,470,38,10,7,attack
44,icmp,dns,1711,3030,1313,7,30,0,normal
43,icmp,ftp,4004,1197,598,14,23,4,normal
18,tcp,ftp,1198,470,1444,13,48,6,attack
9,tcp,http,4139,917,604,45,13,8,attack
15,tcp,ssh,1179,3953,903,4,9,7,attack
14,udp,ssh,1771,68,319,37,47,1,attack
47,tcp,ssh,4310,3454,801,50,13,0,attack
44,udp,ssh,2560,3509,1451,48,9,6,attack
36,icmp,dns,3871,3774,1219,8,20,8,attack
41,udp,dns,3600,378,900,50,19,9,attack
60,icmp,dns,2235,2795,112,1,36,7,attack
25,udp,http,3195,3150,166,45,6,8,attack
34,tcp,ssh,527,3975,1138,14,21,5,normal
9,tcp,ssh,3587,317,703,11,3,1,normal
43,tcp,dns,2964,334,547,40,48,5,attack
16,tcp,dns,1030,2217,923,50,4,10,attack
13,icmp,ftp,4416,3995,188,50,20,2,attack
51,udp,ftp,2730,3919,263,21,20,10,attack
52,tcp,ssh,4868,498,563,13,22,3,normal
6,udp,dns,1441,3605,1410,7,36,7,attack
19,udp,http,2562,1927,459,38,25,8,attack
17,tcp,ftp,4780,2690,113,7,41,8,attack
22,tcp,ftp,2146,1657,1496,13,45,3,normal
14,tcp,http,3394,3342,510,23,41,7,attack
38,udp,dns,1038,1105,199,34,15,7,attack
53,udp,ssh,1326,106,1370,49,36,0,attack
55,udp,http,597,3364,1199,1,9,8,attack
6,icmp,dns,4794,249,936,2,41,6,attack
35,icmp,ftp,4841,2413,1309,41,18,8,attack
40,tcp,ftp,3359,3998,1114,14,22,3,attack
51,icmp,ftp,1533,2759,1074,36,4,10,attack
13,udp,ssh,967,3324,717,22,22,6,attack
49,icmp,http,1013,3051,1159,9,33,5,normal
11,icmp,ssh,3161,3454,902,36,15,1,attack
59,icmp,dns,2333,1712,1024,1,32,7,attack
21,udp,http,3144,1776,342,2,42,2,normal
31,udp,ftp,2860,3023,783,30,42,1,normal
13,udp,ssh,520,1058,855,23,12,4,normal
46,icmp,http,559,3624,914,34,2,6,attack
27,udp,http,1302,2068,963,17,7,2,normal
26,tcp,http,3150,1025,644,8,5,7,attack
43,tcp,ftp,1611,1030,417,47,33,9,attack
5,icmp,dns,4887,1717,430,35,20,2,normal
27,icmp,ssh,3960,2935,259,5,49,4,attack
6,tcp,dns,3516,1153,224,31,30,7,attack
45,icmp,http,3785,1989,443,21,35,6,attack
14,tcp,dns,4576,2913,1373,43,8,6,attack
5,tcp,dns,3301,2001,145,15,14,7,attack
31,icmp,ssh,2337,2443,1134,34,20,4,normal
12,icmp,ssh,1956,3455,322,45,17,1,attack
52,icmp,http,921,3599,767,31,20,3,normal
1,udp,ssh,1383,2034,1158,9,35,9,attack
25,tcp,http,215,1767,1399,36,8,6,attack
43,udp,ssh,1131,489,1373,2,50,2,normal
40,tcp,ssh,1575,2871,1186,29,32,2,normal
30,tcp,ssh,508,3862,1434,32,3,4,normal
47,udp,ftp,1771,2896,634,5,38,9,attack
24,tcp,http,3694,717,430,40,15,2,attack
49,udp,ftp,2545,3577,136,7,32,1,normal
27,tcp,http,3034,2849,576,13,2,8,attack
21,udp,ssh,4625,2591,446,7,43,5,attack
10,tcp,ssh,4970,3234,146,29,48,10,attack
34,tcp,ftp,996,552,1155,47,18,9,attack
39,icmp,http,442,1830,1145,40,46,7,attack
14,tcp,dns,3739,3413,298,29,46,6,attack
40,tcp,http,2651,2047,310,11,2,9,attack
6,icmp,dns,3146,1563,1459,48,8,0,attack
41,icmp,ssh,4029,469,167,29,48,0,normal
28,icmp,dns,373,320,965,24,35,9,attack
42,icmp,http,2469,3913,1275,5,9,8,attack
60,udp,dns,1974,694,1019,12,38,9,attack
51,icmp,http,3492,3242,518,48,27,9,attack
16,udp,ftp,4725,3229,454,19,28,4,attack
35,icmp,dns,3181,2081,577,44,45,8,attack
24,icmp,http,3851,3649,850,5,48,9,attack
47,icmp,ftp,965,2324,417,22,36,4,normal
29,icmp,http,4418,2655,640,39,26,3,attack
37,tcp,http,4175,1642,452,31,12,8,attack
5,tcp,ftp,2794,262,1232,47,26,1,attack
58,udp,http,2882,2444,1216,20,32,9,attack
48,tcp,dns,4884,622,1265,45,8,5,attack
57,tcp,ftp,3527,2928,821,43,48,1,attack
44,tcp,http,3478,2050,935,43,48,2,attack
45,udp,ssh,3049,995,1359,1,46,9,attack
2,icmp,dns,2711,3750,1257,40,14,6,attack
9,udp,dns,4393,1075,288,30,43,10,attack
53,icmp,ftp,4870,3048,528,26,15,10,attack
57,icmp,dns,105,1068,632,42,5,2,attack
37,tcp,dns,502,130,108,47,10,3,attack
14,udp,ssh,341,651,1106,46,27,1,attack
52,udp,http,1106,2674,1006,22,25,4,normal
50,tcp,ftp,1982,2957,461,23,1,0,normal
59,tcp,dns,4005,3684,1021,50,22,10,attack
18,icmp,ssh,2205,1227,1153,24,35,1,normal
22,tcp,ssh,3140,3362,714,38,2,0,attack
55,tcp,dns,3949,3218,1102,43,13,0,attack
57,tcp,ssh,1103,1855,292,49,26,4,attack
34,tcp,dns,1025,3531,352,14,23,8,attack
35,udp,ftp,2152,825,495,6,19,10,attack
5,udp,ssh,3791,3672,1247,2,37,3,attack
19,tcp,http,1161,2418,677,41,39,3,attack
37,udp,http,3670,620,220,39,41,9,attack
42,udp,http,4198,1616,703,10,23,5,normal
30,tcp,http,4909,1845,383,34,35,2,normal
59,udp,dns,1147,1190,1131,31,8,6,attack
59,udp,http,2296,619,209,1,12,6,attack
59,icmp,dns,3019,1136,1104,1,33,0,normal
53,icmp,dns,3994,646,698,28,48,10,attack
36,udp,ssh,2881,2075,272,2,4,3,normal
44,tcp,dns,3445,3236,1284,46,16,5,attack
59,icmp,ssh,3350,954,1292,20,17,1,normal
54,icmp,dns,889,1735,124,15,41,8,attack
55,udp,ssh,4981,2116,141,36,26,4,attack
47,udp,ftp,1758,1093,916,14,26,7,attack
19,udp,dns,4460,3468,253,25,41,9,attack
19,icmp,ssh,1901,3831,1272,48,14,5,attack
22,tcp,http,3525,2152,1392,27,21,0,attack
20,icmp,ftp,2497,2355,1429,3,5,9,attack
15,icmp,ftp,644,2468,1206,28,50,0,normal
26,icmp,http,3331,1213,504,18,23,4,normal
17,udp,dns,3020,3943,625,43,45,8,attack
20,tcp,http,3098,991,1242,22,38,5,normal
42,udp,dns,3837,2869,639,41,12,10,attack
41,udp,http,2578,2543,1183,34,33,1,normal
34,icmp,dns,2182,593,1318,27,4,4,normal
38,udp,http,2216,2970,1122,5,29,6,attack
33,udp,http,3495,2542,1101,9,32,10,attack
15,udp,ssh,4335,1091,275,19,16,3,normal
35,udp,ssh,3467,444,1047,1,13,0,normal
23,icmp,ftp,3017,974,523,14,11,8,attack
27,tcp,dns,1333,945,945,2,28,2,normal
31,tcp,ftp,1245,503,1241,11,43,3,normal
42,udp,dns,300,1723,1446,10,10,6,attack
40,tcp,ssh,1468,84,296,33,39,5,normal
34,udp,dns,1294,1584,1455,36,30,6,attack
25,tcp,dns,4081,2979,1310,16,26,7,attack
15,udp,http,4045,3831,912,27,11,4,attack
39,tcp,ftp,4477,3731,1144,6,50,5,attack
34,icmp,http,686,3532,1419,9,27,9,attack
52,udp,ssh,2172,2748,1143,48,23,8,attack
57,tcp,dns,4355,1801,452,34,21,5,normal
4,tcp,dns,2241,3160,573,50,10,0,attack
11,tcp,ssh,340,1011,442,31,40,9,attack
31,udp,ssh,2559,3408,331,5,5,3,normal
7,udp,dns,3985,2958,847,14,2,0,attack
23,udp,ftp,2421,1193,507,8,15,1,normal
26,udp,http,1272,1340,370,47,15,3,attack
42,icmp,dns,2312,3373,486,49,45,10,attack
4,tcp,dns,874,3044,258,8,33,2,normal
47,icmp,ssh,3646,889,739,25,45,10,attack
13,udp,http,783,2485,1332,12,8,5,normal
26,icmp,http,270,1217,847,7,17,5,normal
45,icmp,ftp,2455,2800,1271,34,17,7,attack
12,udp,ftp,791,1111,645,19,9,5,normal
38,icmp,ftp,486,3947,133,4,31,6,attack
36,tcp,ftp,4718,2661,479,41,7,8,attack
37,tcp,ftp,1212,3186,840,43,18,3,attack
51,icmp,ftp,3230,792,536,8,7,0,normal
23,udp,ftp,3979,1370,769,1,29,3,normal
6,icmp,http,3987,3299,1111,23,40,6,attack
59,udp,ftp,1088,1654,1148,27,13,6,attack
8,udp,ftp,1106,298,419,6,14,5,normal
44,udp,dns,4244,2265,536,45,20,2,attack
28,tcp,http,3776,388,402,39,15,2,attack
26,tcp,ssh,237,98,1175,9,36,1,normal
13,icmp,http,1251,3221,1486,8,16,0,normal
33,udp,dns,797,1761,1147,35,39,1,normal
36,udp,ftp,3159,3168,633,13,38,9,attack
5,tcp,ftp,1136,2073,600,2,43,4,normal
50,udp,dns,2280,1894,1217,19,9,2,normal
60,icmp,dns,3057,1248,440,27,36,0,normal
49,udp,dns,4006,673,1006,47,19,6,attack
54,tcp,ssh,829,1220,849,41,22,10,attack
49,icmp,ssh,291,278,873,19,21,1,normal
59,tcp,ssh,249,2235,1060,28,25,1,normal
11,tcp,dns,1524,872,1137,9,8,8,attack
36,tcp,dns,1821,1481,1022,1,11,7,attack
45,udp,ftp,3882,778,1435,35,48,8,attack
17,icmp,ftp,1613,2453,1097,34,4,3,normal
18,udp,ftp,2173,3971,970,43,25,8,attack
3,icmp,ssh,1484,789,151,30,21,3,normal
44,tcp,http,2169,1702,259,10,6,5,normal
6,udp,ssh,3498,3500,1257,2,17,9,attack
46,tcp,ftp,419,972,441,10,38,8,attack
14,icmp,dns,2759,116,717,29,47,8,attack
4,tcp,ftp,1531,1215,868,34,1,9,attack
40,udp,http,1752,661,857,10,43,5,normal
36,tcp,http,4355,2482,342,43,2,6,attack
25,tcp,http,2290,2094,1490,27,29,10,attack
17,udp,ssh,3618,961,621,14,40,7,attack
21,tcp,ftp,4559,2630,736,40,9,9,attack
31,tcp,http,3294,1258,1114,6,21,10,attack
54,udp,dns,3305,908,130,50,38,8,attack
42,icmp,dns,4432,3429,1012,9,8,5,attack
21,icmp,http,1850,191,814,37,14,0,attack
34,udp,ftp,2161,175,1290,11,17,1,normal
52,tcp,ftp,3099,2032,323,46,8,7,attack
46,icmp,ssh,954,1996,907,47,43,8,attack
41,icmp,ftp,3228,3399,633,27,21,10,attack
21,icmp,ssh,167,3900,1005,6,49,5,normal
20,tcp,ftp,2982,386,655,47,22,10,attack
2,udp,dns,4752,1776,1274,49,26,5,attack
21,icmp,http,4767,883,1349,5,39,6,attack
41,icmp,http,2280,2470,1175,23,20,8,attack
31,udp,dns,2252,458,483,9,11,0,normal
32,tcp,ftp,1842,3496,879,12,32,7,attack
10,icmp,ftp,2053,88,981,36,35,10,attack
7,icmp,dns,3423,576,364,43,15,8,attack
51,icmp,http,2948,1515,931,40,18,8,attack
22,icmp,http,4161,1666,1024,19,13,4,normal
40,udp,http,2698,2986,901,47,20,10,attack
24,icmp,http,2120,283,616,5,26,0,normal
27,udp,http,4002,2542,337,15,28,3,attack
29,udp,http,1691,3712,1231,25,41,4,normal
56,udp,http,3418,2916,266,41,49,4,attack
26,udp,dns,3024,2833,842,6,41,0,attack
49,udp,http,2367,3909,984,19,49,6,attack
58,tcp,http,3293,487,1105,24,5,8,attack
35,udp,http,423,1532,1350,38,33,7,attack
40,udp,ftp,559,271,742,13,21,2,normal
5,tcp,http,4712,612,888,12,19,4,normal
56,tcp,dns,1127,2311,1049,32,27,2,normal
6,icmp,ssh,3396,2116,514,39,41,9,attack
37,icmp,ssh,1914,611,1360,22,28,8,attack
50,udp,dns,4333,3750,753,32,13,0,attack
45,icmp,ftp,3782,1976,1484,13,44,3,normal
51,icmp,ssh,632,2879,144,42,20,5,attack
59,udp,http,3680,611,883,18,29,8,attack
41,tcp,ftp,1324,3945,1221,6,13,3,normal
26,tcp,ssh,1226,2878,476,41,24,4,attack
28,udp,ftp,1845,2426,120,5,33,6,attack
35,icmp,http,3276,3142,1431,21,18,7,attack
56,udp,ssh,4286,3461,1482,23,48,10,attack
7,tcp,ftp,3945,605,1306,12,11,1,normal
56,udp,http,3296,134,664,40,39,5,attack
29,udp,dns,1548,2436,373,16,21,8,attack
57,icmp,dns,2245,1831,1410,40,36,6,attack
49,icmp,dns,3271,3346,663,28,49,2,attack
9,tcp,dns,469,1888,1023,11,18,10,attack
54,udp,dns,4398,1713,180,6,8,4,normal
32,tcp,ssh,1869,540,138,12,50,7,attack
51,tcp,ssh,2901,3288,406,41,21,5,attack
22,tcp,dns,4517,3859,426,40,16,6,attack
35,icmp,ssh,2109,3280,1198,6,2,9,attack
38,icmp,http,2555,1578,683,17,29,5,normal
15,udp,ssh,4269,1593,279,23,27,0,normal
44,icmp,ssh,3011,1190,394,18,30,10,attack
25,icmp,ssh,4316,2247,1432,40,32,8,attack
16,tcp,ftp,802,2029,949,8,28,8,attack
20,tcp,dns,1598,1661,588,47,29,8,attack
39,icmp,ftp,4257,2574,1263,47,49,7,attack
35,icmp,dns,4470,1882,1023,31,41,7,attack
52,udp,http,3764,2752,1134,41,35,9,attack
35,udp,ftp,626,1066,347,37,27,1,attack
50,udp,http,3833,874,156,18,16,2,normal
18,tcp,ftp,4608,972,488,6,5,5,normal
18,tcp,http,597,2781,1383,10,26,4,normal
12,icmp,ftp,3919,2053,540,39,8,6,attack
10,icmp,ssh,415,1577,430,29,32,4,normal
46,udp,ftp,3428,1532,1186,44,2,5,attack
14,tcp,dns,1998,3334,924,49,27,9,attack
16,icmp,http,2456,712,943,17,49,10,attack
45,icmp,ssh,2106,3541,1061,14,27,0,normal
57,icmp,ftp,3948,2215,1123,15,4,0,attack
18,udp,ssh,4859,361,1401,2,46,7,attack
9,icmp,dns,1532,3622,327,49,16,1,attack
29,udp,ssh,206,3525,1007,39,7,7,attack
15,tcp,ftp,708,1692,373,39,39,1,attack
3,icmp,ftp,2045,1660,684,5,12,4,normal
58,tcp,http,210,57,1402,32,32,1,normal
55,icmp,http,1112,1172,109,18,42,0,normal
58,tcp,http,4698,3138,1232,47,18,6,attack
39,icmp,http,3182,2639,130,50,48,4,attack
20,udp,ssh,1636,3496,1160,17,38,2,normal
13,icmp,ssh,1966,3458,524,20,7,2,normal
47,udp,ssh,1965,449,881,33,42,0,normal
16,tcp,ssh,3319,370,1365,16,45,4,normal
36,icmp,ftp,2439,1007,326,23,27,10,attack
10,icmp,http,2165,1646,1227,33,40,1,normal
58,tcp,ftp,3991,773,1355,46,28,1,attack
13,udp,ssh,227,2433,1240,44,34,0,attack
29,icmp,http,2404,2134,1185,33,32,10,attack
14,icmp,ftp,317,1651,642,39,30,1,attack
50,icmp,ssh,4187,428,330,6,19,0,normal
40,icmp,dns,1860,3692,165,48,25,3,attack
14,tcp,http,4494,1046,459,4,21,9,attack
51,udp,ftp,4407,1790,636,23,4,5,normal
48,tcp,ssh,3510,3247,173,37,17,10,attack
22,udp,http,551,2812,743,50,43,6,attack
57,tcp,http,1973,165,1416,30,32,5,normal
58,tcp,ssh,3358,576,858,23,18,7,attack
9,icmp,ftp,1737,2695,667,30,40,7,attack
23,udp,dns,4682,1202,414,30,16,10,attack
53,tcp,http,4489,72,664,10,22,4,normal
29,tcp,ssh,3010,1308,814,7,40,9,attack
49,tcp,dns,3236,598,866,14,2,6,attack
30,udp,ftp,4821,913,436,35,31,4,normal
40,icmp,ftp,4512,1844,839,29,36,9,attack
28,tcp,dns,1267,1138,732,47,41,6,attack
51,udp,http,3642,2027,345,41,25,7,attack
34,tcp,ftp,3700,3420,212,46,36,3,attack
41,icmp,dns,3225,1047,396,40,35,2,attack
30,tcp,http,4283,2159,1499,35,25,2,attack
7,udp,http,1343,671,230,42,32,7,attack
31,icmp,ssh,219,2973,935,48,13,6,attack
14,icmp,dns,4285,2065,1086,7,24,3,attack
44,icmp,ftp,3556,3519,1373,41,14,3,attack
15,udp,ssh,4879,3708,863,1,5,5,attack
9,icmp,http,2962,929,379,40,5,4,attack
31,tcp,http,2407,286,705,5,5,9,attack
40,icmp,ftp,4874,1528,683,10,49,9,attack
7,udp,ssh,1025,886,411,37,7,1,attack
42,udp,ssh,4673,3202,152,22,35,0,attack
57,udp,ftp,4225,2355,746,28,28,7,attack
56,tcp,http,2263,816,238,36,10,7,attack
1,udp,ftp,4052,829,1353,10,47,1,normal
20,udp,ftp,1274,2057,882,4,28,9,attack
26,udp,ssh,2980,3793,1197,50,19,4,attack
25,tcp,http,3594,1025,655,50,41,6,attack
52,tcp,http,2172,568,531,11,5,3,normal
38,tcp,dns,3040,3524,1439,44,18,5,attack
39,icmp,http,3778,1329,863,11,50,3,normal
28,icmp,dns,2055,3762,1090,32,26,8,attack
46,udp,ftp,3520,3673,227,40,20,7,attack
47,icmp,ftp,3297,3606,639,44,49,7,attack
38,icmp,dns,4396,3658,713,47,16,6,attack
